subject	roi	quadrant	condition	n_trials	n_voxels	mean_beta
1	V1	upper_right	target	180	27	0.6960572004318237
1	V1	upper_right	distractor	216	27	0.704084038734436
1	V1	upper_right	neutral	324	27	0.7217830419540405
1	V1	upper_left	target	180	55	0.8665568232536316
1	V1	upper_left	distractor	72	55	0.7660930156707764
1	V1	upper_left	neutral	468	55	0.7994039058685303
1	V1	lower_left	target	180	46	0.544975221157074
1	V1	lower_left	distractor	120	46	0.5019171237945557
1	V1	lower_left	neutral	420	46	0.5104568004608154
1	V1	lower_right	target	180	37	0.9541897177696228
1	V1	lower_right	distractor	168	37	0.5342677235603333
1	V1	lower_right	neutral	372	37	0.6643669605255127
1	V2	upper_right	target	180	29	0.7715649008750916
1	V2	upper_right	distractor	216	29	0.6582102179527283
1	V2	upper_right	neutral	324	29	0.6780611872673035
1	V2	upper_left	target	180	27	0.27836447954177856
1	V2	upper_left	distractor	72	27	0.2983663082122803
1	V2	upper_left	neutral	468	27	0.26999545097351074
1	V2	lower_left	target	180	35	1.266029715538025
1	V2	lower_left	distractor	120	35	1.1626513004302979
1	V2	lower_left	neutral	420	35	1.052250623703003
1	V2	lower_right	target	180	46	0.6070014238357544
1	V2	lower_right	distractor	168	46	0.3447019159793854
1	V2	lower_right	neutral	372	46	0.39611443877220154
1	V3	upper_right	target	180	52	0.7162337303161621
1	V3	upper_right	distractor	216	52	0.6618208289146423
1	V3	upper_right	neutral	324	52	0.6161017417907715
1	V3	upper_left	target	180	25	0.4011005461215973
1	V3	upper_left	distractor	72	25	0.46531596779823303
1	V3	upper_left	neutral	468	25	0.4115016460418701
1	V3	lower_left	target	180	12	1.255075454711914
1	V3	lower_left	distractor	120	12	1.2017745971679688
1	V3	lower_left	neutral	420	12	1.0047234296798706
1	V3	lower_right	target	180	39	0.7015321254730225
1	V3	lower_right	distractor	168	39	0.3211924731731415
1	V3	lower_right	neutral	372	39	0.40287673473358154
1	V3AB	upper_right	target	180	20	1.9232933521270752
1	V3AB	upper_right	distractor	216	20	1.6930418014526367
1	V3AB	upper_right	neutral	324	20	1.5121431350708008
1	V3AB	upper_left	target	180	23	0.46530815958976746
1	V3AB	upper_left	distractor	72	23	0.5275876522064209
1	V3AB	upper_left	neutral	468	23	0.3474671542644501
1	V3AB	lower_left	target	180	30	0.5988498330116272
1	V3AB	lower_left	distractor	120	30	0.540113091468811
1	V3AB	lower_left	neutral	420	30	0.3833264410495758
1	V3AB	lower_right	target	180	31	0.4732339680194855
1	V3AB	lower_right	distractor	168	31	0.28693079948425293
1	V3AB	lower_right	neutral	372	31	0.35739779472351074
1	hV4	upper_right	target	180	13	0.5185137987136841
1	hV4	upper_right	distractor	216	13	0.49289071559906006
1	hV4	upper_right	neutral	324	13	0.4083717167377472
1	hV4	upper_left	target	180	9	1.5481231212615967
1	hV4	upper_left	distractor	72	9	1.8473076820373535
1	hV4	upper_left	neutral	468	9	1.8424816131591797
1	hV4	lower_left	target	180	6	0.5861049890518188
1	hV4	lower_left	distractor	120	6	0.4768190383911133
1	hV4	lower_left	neutral	420	6	0.4002637565135956
1	hV4	lower_right	target	180	12	0.2721293866634369
1	hV4	lower_right	distractor	168	12	0.17427676916122437
1	hV4	lower_right	neutral	372	12	0.27028119564056396
1	LO1	upper_right	target	180	8	0.1200762540102005
1	LO1	upper_right	distractor	216	8	0.14849795401096344
1	LO1	upper_right	neutral	324	8	0.12907449901103973
1	LO1	upper_left	target	180	5	0.03684878721833229
1	LO1	upper_left	distractor	72	5	0.023903727531433105
1	LO1	upper_left	neutral	468	5	0.03861207887530327
1	LO1	lower_left	target	180	6	0.4032566547393799
1	LO1	lower_left	distractor	120	6	0.4479377865791321
1	LO1	lower_left	neutral	420	6	0.30873194336891174
1	LO2	upper_right	target	180	17	0.2731386125087738
1	LO2	upper_right	distractor	216	17	0.3398202955722809
1	LO2	upper_right	neutral	324	17	0.318150132894516
1	LO2	upper_left	target	180	8	0.22487077116966248
1	LO2	upper_left	distractor	72	8	0.29453200101852417
1	LO2	upper_left	neutral	468	8	0.2508696913719177
1	LO2	lower_left	target	180	14	0.4294176697731018
1	LO2	lower_left	distractor	120	14	0.3438860774040222
1	LO2	lower_left	neutral	420	14	0.36994680762290955
1	LO2	lower_right	target	180	8	0.16658669710159302
1	LO2	lower_right	distractor	168	8	-0.0258401520550251
1	LO2	lower_right	neutral	372	8	0.10349667817354202
1	TO1	upper_right	target	180	6	-0.2803114652633667
1	TO1	upper_right	distractor	216	6	-0.2896403968334198
1	TO1	upper_right	neutral	324	6	-0.3188132345676422
1	TO1	upper_left	target	180	6	0.04525778070092201
1	TO1	upper_left	distractor	72	6	-0.002337257144972682
1	TO1	upper_left	neutral	468	6	0.10276875644922256
1	TO1	lower_left	target	180	10	0.08037569373846054
1	TO1	lower_left	distractor	120	10	-0.026383982971310616
1	TO1	lower_left	neutral	420	10	-0.09113837033510208
1	TO1	lower_right	target	180	14	-0.25226891040802
1	TO1	lower_right	distractor	168	14	-0.21369856595993042
1	TO1	lower_right	neutral	372	14	-0.09687096625566483
1	TO2	upper_right	target	180	5	-0.083586186170578
1	TO2	upper_right	distractor	216	5	-0.06600917130708694
1	TO2	upper_right	neutral	324	5	-0.09825478494167328
1	TO2	upper_left	target	180	12	0.0014518300304189324
1	TO2	upper_left	distractor	72	12	-0.000258028507232666
1	TO2	upper_left	neutral	468	12	-0.007716787047684193
1	TO2	lower_right	target	180	7	0.4832892417907715
1	TO2	lower_right	distractor	168	7	0.36288172006607056
1	TO2	lower_right	neutral	372	7	0.40093252062797546
2	V1	upper_right	target	180	31	0.0029750890098512173
2	V1	upper_right	distractor	216	31	-0.02246386930346489
2	V1	upper_right	neutral	324	31	-0.00911999586969614
2	V1	upper_left	target	180	15	0.026925502344965935
2	V1	upper_left	distractor	168	15	-0.0002824735129252076
2	V1	upper_left	neutral	372	15	-0.00775190582498908
2	V1	lower_left	target	180	23	0.14974258840084076
2	V1	lower_left	distractor	120	23	0.19740155339241028
2	V1	lower_left	neutral	420	23	0.12985463440418243
2	V1	lower_right	target	180	28	0.007000980898737907
2	V1	lower_right	distractor	72	28	-0.03331393375992775
2	V1	lower_right	neutral	468	28	0.010655327700078487
2	V2	upper_right	target	180	11	0.09883797913789749
2	V2	upper_right	distractor	216	11	0.05983581393957138
2	V2	upper_right	neutral	324	11	0.1152537539601326
2	V2	upper_left	target	180	23	-0.03281043469905853
2	V2	upper_left	distractor	168	23	-0.11133702844381332
2	V2	upper_left	neutral	372	23	-0.10591043531894684
2	V2	lower_left	target	180	26	-0.030388323590159416
2	V2	lower_left	distractor	120	26	-0.018267663195729256
2	V2	lower_left	neutral	420	26	-0.06021707132458687
2	V2	lower_right	target	180	26	0.03599302098155022
2	V2	lower_right	distractor	72	26	-0.004183565732091665
2	V2	lower_right	neutral	468	26	-0.032102376222610474
2	V3	upper_right	target	180	47	-0.2529258131980896
2	V3	upper_right	distractor	216	47	-0.2842130959033966
2	V3	upper_right	neutral	324	47	-0.31364312767982483
2	V3	upper_left	target	180	20	-0.10793549567461014
2	V3	upper_left	distractor	168	20	-0.12889260053634644
2	V3	upper_left	neutral	372	20	-0.18012559413909912
2	V3	lower_left	target	180	14	0.9135792851448059
2	V3	lower_left	distractor	120	14	0.8194378018379211
2	V3	lower_left	neutral	420	14	0.713300883769989
2	V3	lower_right	target	180	53	-0.10026311874389648
2	V3	lower_right	distractor	72	53	-0.1432296186685562
2	V3	lower_right	neutral	468	53	-0.1567603498697281
2	V3AB	upper_right	target	180	32	-0.2800954580307007
2	V3AB	upper_right	distractor	216	32	-0.33873847126960754
2	V3AB	upper_right	neutral	324	32	-0.3564320206642151
2	V3AB	upper_left	target	180	30	0.046931855380535126
2	V3AB	upper_left	distractor	168	30	0.018942615017294884
2	V3AB	upper_left	neutral	372	30	-0.00879313237965107
2	V3AB	lower_left	target	180	29	-0.2154388427734375
2	V3AB	lower_left	distractor	120	29	-0.20655302703380585
2	V3AB	lower_left	neutral	420	29	-0.2143074870109558
2	V3AB	lower_right	target	180	27	-0.2733970582485199
2	V3AB	lower_right	distractor	72	27	-0.2385731339454651
2	V3AB	lower_right	neutral	468	27	-0.24023626744747162
2	hV4	upper_right	target	180	10	0.03590096905827522
2	hV4	upper_right	distractor	216	10	-0.01354191079735756
2	hV4	upper_right	neutral	324	10	-0.01343601569533348
2	hV4	upper_left	target	180	17	0.04817212373018265
2	hV4	upper_left	distractor	168	17	0.015199011191725731
2	hV4	upper_left	neutral	372	17	-0.06305922567844391
2	hV4	lower_left	target	180	5	-0.022314054891467094
2	hV4	lower_left	distractor	120	5	0.027333153411746025
2	hV4	lower_left	neutral	420	5	-0.04082002490758896
2	hV4	lower_right	target	180	6	0.7703955173492432
2	hV4	lower_right	distractor	72	6	0.8919743299484253
2	hV4	lower_right	neutral	468	6	0.6858090162277222
2	LO1	upper_left	target	180	7	0.1737365871667862
2	LO1	upper_left	distractor	168	7	0.09915791451931
2	LO1	upper_left	neutral	372	7	0.044060856103897095
2	LO1	lower_left	target	180	6	0.27628904581069946
2	LO1	lower_left	distractor	120	6	0.31520023941993713
2	LO1	lower_left	neutral	420	6	0.1808999627828598
2	LO2	upper_left	target	180	8	-0.16825677454471588
2	LO2	upper_left	distractor	168	8	-0.16301292181015015
2	LO2	upper_left	neutral	372	8	-0.17604684829711914
2	LO2	lower_left	target	180	8	-0.10587607324123383
2	LO2	lower_left	distractor	120	8	-0.09790897369384766
2	LO2	lower_left	neutral	420	8	-0.1000804528594017
2	TO1	upper_right	target	180	5	0.19913482666015625
2	TO1	upper_right	distractor	216	5	0.09044527262449265
2	TO1	upper_right	neutral	324	5	0.1261773258447647
2	TO1	upper_left	target	180	5	0.11420220136642456
2	TO1	upper_left	distractor	168	5	-0.004413264337927103
2	TO1	upper_left	neutral	372	5	0.1587933450937271
2	TO1	lower_left	target	180	6	-0.10791192948818207
2	TO1	lower_left	distractor	120	6	-0.09799857437610626
2	TO1	lower_left	neutral	420	6	0.019685586914420128
2	TO2	upper_right	target	180	5	0.2879365086555481
2	TO2	upper_right	distractor	216	5	0.26744893193244934
2	TO2	upper_right	neutral	324	5	0.266754686832428
2	TO2	upper_left	target	180	5	-0.1657291203737259
2	TO2	upper_left	distractor	168	5	-0.19045817852020264
2	TO2	upper_left	neutral	372	5	-0.1727682501077652
2	TO2	lower_right	target	180	5	-0.02979283407330513
2	TO2	lower_right	distractor	72	5	-0.01552132423967123
2	TO2	lower_right	neutral	468	5	-0.006587229203432798
3	V1	upper_right	target	180	24	-0.02054639346897602
3	V1	upper_right	distractor	144	24	-0.030363930389285088
3	V1	upper_right	neutral	396	24	0.06581799685955048
3	V1	upper_left	target	180	30	0.04716998711228371
3	V1	upper_left	distractor	144	30	0.061713654547929764
3	V1	upper_left	neutral	396	30	0.11630246788263321
3	V1	lower_left	target	180	23	0.17882458865642548
3	V1	lower_left	distractor	144	23	0.13785621523857117
3	V1	lower_left	neutral	396	23	0.1185353472828865
3	V1	lower_right	target	180	38	0.12055668234825134
3	V1	lower_right	distractor	144	38	-0.028613371774554253
3	V1	lower_right	neutral	396	38	-0.04299125447869301
3	V2	upper_right	target	180	18	0.43772757053375244
3	V2	upper_right	distractor	144	18	0.37882477045059204
3	V2	upper_right	neutral	396	18	0.39613237977027893
3	V2	upper_left	target	180	28	0.3636761009693146
3	V2	upper_left	distractor	144	28	0.2708379626274109
3	V2	upper_left	neutral	396	28	0.31183916330337524
3	V2	lower_left	target	180	18	0.5975373387336731
3	V2	lower_left	distractor	144	18	0.4901147484779358
3	V2	lower_left	neutral	396	18	0.4606461226940155
3	V2	lower_right	target	180	25	0.1476561427116394
3	V2	lower_right	distractor	144	25	-0.08127661049365997
3	V2	lower_right	neutral	396	25	-0.17560088634490967
3	V3	upper_right	target	180	18	1.0004544258117676
3	V3	upper_right	distractor	144	18	0.8864960074424744
3	V3	upper_right	neutral	396	18	0.79230135679245
3	V3	upper_left	target	180	12	0.5126864314079285
3	V3	upper_left	distractor	144	12	0.487126886844635
3	V3	upper_left	neutral	396	12	0.5887003540992737
3	V3	lower_left	target	180	15	0.49913889169692993
3	V3	lower_left	distractor	144	15	0.39244306087493896
3	V3	lower_left	neutral	396	15	0.3729328513145447
3	V3	lower_right	target	180	11	0.5454264283180237
3	V3	lower_right	distractor	144	11	0.3069216310977936
3	V3	lower_right	neutral	396	11	0.29633545875549316
3	V3AB	upper_right	target	180	10	-0.024227624759078026
3	V3AB	upper_right	distractor	144	10	0.017821958288550377
3	V3AB	upper_right	neutral	396	10	-0.0717107430100441
3	V3AB	upper_left	target	180	19	0.6531524062156677
3	V3AB	upper_left	distractor	144	19	0.5766303539276123
3	V3AB	upper_left	neutral	396	19	0.6213793754577637
3	V3AB	lower_left	target	180	23	0.37292277812957764
3	V3AB	lower_left	distractor	144	23	0.4824272394180298
3	V3AB	lower_left	neutral	396	23	0.3605510890483856
3	V3AB	lower_right	target	180	21	0.5172466039657593
3	V3AB	lower_right	distractor	144	21	0.3399435579776764
3	V3AB	lower_right	neutral	396	21	0.3075966238975525
3	hV4	upper_right	target	180	12	1.0736690759658813
3	hV4	upper_right	distractor	144	12	1.031935691833496
3	hV4	upper_right	neutral	396	12	1.0798637866973877
3	hV4	upper_left	target	180	10	0.42704886198043823
3	hV4	upper_left	distractor	144	10	0.3726360499858856
3	hV4	upper_left	neutral	396	10	0.3990684747695923
3	LO1	upper_left	target	180	7	0.1751789152622223
3	LO1	upper_left	distractor	144	7	0.21240127086639404
3	LO1	upper_left	neutral	396	7	0.21852675080299377
3	LO2	upper_right	target	180	7	0.19862379133701324
3	LO2	upper_right	distractor	144	7	0.021870307624340057
3	LO2	upper_right	neutral	396	7	0.09384599328041077
3	LO2	upper_left	target	180	7	0.14290635287761688
3	LO2	upper_left	distractor	144	7	0.2172662615776062
3	LO2	upper_left	neutral	396	7	0.1418790966272354
3	LO2	lower_left	target	180	8	0.12852810323238373
3	LO2	lower_left	distractor	144	8	0.14935457706451416
3	LO2	lower_left	neutral	396	8	0.09535032510757446
3	LO2	lower_right	target	180	7	0.352839857339859
3	LO2	lower_right	distractor	144	7	0.3366844952106476
3	LO2	lower_right	neutral	396	7	0.3056803047657013
3	TO2	upper_right	target	180	5	0.21348871290683746
3	TO2	upper_right	distractor	144	5	0.14613233506679535
3	TO2	upper_right	neutral	396	5	0.12671694159507751
3	TO2	upper_left	target	180	8	0.2718600332736969
3	TO2	upper_left	distractor	144	8	0.2329074591398239
3	TO2	upper_left	neutral	396	8	0.29093554615974426
3	TO2	lower_right	target	180	9	0.342105895280838
3	TO2	lower_right	distractor	144	9	0.31093958020210266
3	TO2	lower_right	neutral	396	9	0.30817389488220215
4	V1	upper_right	target	180	44	0.1383688896894455
4	V1	upper_right	distractor	144	44	0.3344400227069855
4	V1	upper_right	neutral	396	44	0.286884605884552
4	V1	upper_left	target	180	49	-0.0054885572753846645
4	V1	upper_left	distractor	144	49	-0.17526434361934662
4	V1	upper_left	neutral	396	49	-0.13455915451049805
4	V1	lower_left	target	180	36	0.0981350764632225
4	V1	lower_left	distractor	144	36	-0.04517221450805664
4	V1	lower_left	neutral	396	36	-0.046092137694358826
4	V1	lower_right	target	180	58	0.22459933161735535
4	V1	lower_right	distractor	144	58	0.21237795054912567
4	V1	lower_right	neutral	396	58	0.20067377388477325
4	V2	upper_right	target	180	29	0.47824689745903015
4	V2	upper_right	distractor	144	29	0.3366103172302246
4	V2	upper_right	neutral	396	29	0.21112331748008728
4	V2	upper_left	target	180	28	0.20193922519683838
4	V2	upper_left	distractor	144	28	-0.07116734981536865
4	V2	upper_left	neutral	396	28	0.009676773101091385
4	V2	lower_left	target	180	24	0.0719582661986351
4	V2	lower_left	distractor	144	24	-0.09286856651306152
4	V2	lower_left	neutral	396	24	-0.18983487784862518
4	V2	lower_right	target	180	33	0.0502970889210701
4	V2	lower_right	distractor	144	33	0.10284439474344254
4	V2	lower_right	neutral	396	33	0.05031726509332657
4	V3	upper_right	target	180	51	0.12245892733335495
4	V3	upper_right	distractor	144	51	0.1107308566570282
4	V3	upper_right	neutral	396	51	0.12465336173772812
4	V3	upper_left	target	180	27	0.10634437203407288
4	V3	upper_left	distractor	144	27	-0.023982912302017212
4	V3	upper_left	neutral	396	27	-0.013427885249257088
4	V3	lower_left	target	180	10	0.02962123043835163
4	V3	lower_left	distractor	144	10	-0.048518940806388855
4	V3	lower_left	neutral	396	10	-0.1501830667257309
4	V3	lower_right	target	180	18	-0.13540515303611755
4	V3	lower_right	distractor	144	18	-0.22168129682540894
4	V3	lower_right	neutral	396	18	-0.27942487597465515
4	V3AB	upper_right	target	180	21	-0.30418238043785095
4	V3AB	upper_right	distractor	144	21	-0.4211527109146118
4	V3AB	upper_right	neutral	396	21	-0.4210015535354614
4	V3AB	upper_left	target	180	21	0.5565588474273682
4	V3AB	upper_left	distractor	144	21	0.4614016115665436
4	V3AB	upper_left	neutral	396	21	0.3539700508117676
4	V3AB	lower_left	target	180	32	0.30274492502212524
4	V3AB	lower_left	distractor	144	32	0.27722686529159546
4	V3AB	lower_left	neutral	396	32	0.15467138588428497
4	V3AB	lower_right	target	180	28	-0.13068975508213043
4	V3AB	lower_right	distractor	144	28	-0.06438184529542923
4	V3AB	lower_right	neutral	396	28	-0.06529629975557327
4	hV4	upper_right	target	180	11	2.239550828933716
4	hV4	upper_right	distractor	144	11	1.879334568977356
4	hV4	upper_right	neutral	396	11	1.830295443534851
4	hV4	upper_left	target	180	17	-0.031224939972162247
4	hV4	upper_left	distractor	144	17	-0.13029605150222778
4	hV4	upper_left	neutral	396	17	-0.1445532739162445
4	hV4	lower_left	target	180	7	0.06949100643396378
4	hV4	lower_left	distractor	144	7	0.19379360973834991
4	hV4	lower_left	neutral	396	7	0.08816886693239212
4	hV4	lower_right	target	180	7	0.43189603090286255
4	hV4	lower_right	distractor	144	7	0.5103291869163513
4	hV4	lower_right	neutral	396	7	0.4139500558376312
4	LO1	upper_right	target	180	8	0.24803130328655243
4	LO1	upper_right	distractor	144	8	0.23287725448608398
4	LO1	upper_right	neutral	396	8	0.20478405058383942
4	LO2	upper_right	target	180	10	0.08077748119831085
4	LO2	upper_right	distractor	144	10	0.005628230981528759
4	LO2	upper_right	neutral	396	10	0.036909040063619614
4	LO2	upper_left	target	180	11	0.08660390973091125
4	LO2	upper_left	distractor	144	11	0.09364112466573715
4	LO2	upper_left	neutral	396	11	0.09434051066637039
4	LO2	lower_left	target	180	9	0.2170533984899521
4	LO2	lower_left	distractor	144	9	0.166539266705513
4	LO2	lower_left	neutral	396	9	0.15486733615398407
4	LO2	lower_right	target	180	8	-0.11100351810455322
4	LO2	lower_right	distractor	144	8	-0.060412220656871796
4	LO2	lower_right	neutral	396	8	-0.0969453901052475
4	TO1	upper_left	target	180	8	-0.291681170463562
4	TO1	upper_left	distractor	144	8	-0.21936561167240143
4	TO1	upper_left	neutral	396	8	-0.2705020606517792
4	TO1	lower_left	target	180	9	0.0574335902929306
4	TO1	lower_left	distractor	144	9	0.008529024198651314
4	TO1	lower_left	neutral	396	9	0.055435679852962494
4	TO2	upper_right	target	180	8	-0.1402006596326828
4	TO2	upper_right	distractor	144	8	-0.2571716606616974
4	TO2	upper_right	neutral	396	8	-0.20317740738391876
4	TO2	lower_right	target	180	10	0.10230180621147156
4	TO2	lower_right	distractor	144	10	0.0512026883661747
4	TO2	lower_right	neutral	396	10	0.028865959495306015
5	V1	upper_right	target	180	37	0.8191099166870117
5	V1	upper_right	distractor	144	37	0.9966036677360535
5	V1	upper_right	neutral	396	37	0.8871281743049622
5	V1	upper_left	target	180	44	0.13546790182590485
5	V1	upper_left	distractor	144	44	0.21097970008850098
5	V1	upper_left	neutral	396	44	0.23279933631420135
5	V1	lower_left	target	180	56	0.21401125192642212
5	V1	lower_left	distractor	144	56	0.13715067505836487
5	V1	lower_left	neutral	396	56	0.1515801101922989
5	V1	lower_right	target	180	26	0.6585143804550171
5	V1	lower_right	distractor	144	26	0.4942575991153717
5	V1	lower_right	neutral	396	26	0.37578290700912476
5	V2	upper_right	target	180	26	0.29508480429649353
5	V2	upper_right	distractor	144	26	0.18149608373641968
5	V2	upper_right	neutral	396	26	0.22493475675582886
5	V2	upper_left	target	180	24	1.3224282264709473
5	V2	upper_left	distractor	144	24	1.1225324869155884
5	V2	upper_left	neutral	396	24	1.2342694997787476
5	V2	lower_left	target	180	56	-0.5000203251838684
5	V2	lower_left	distractor	144	56	-0.4927120804786682
5	V2	lower_left	neutral	396	56	-0.45826050639152527
5	V2	lower_right	target	180	18	0.04828343912959099
5	V2	lower_right	distractor	144	18	-0.14735539257526398
5	V2	lower_right	neutral	396	18	-0.21837295591831207
5	V3	upper_right	target	180	28	0.46836602687835693
5	V3	upper_right	distractor	144	28	0.4563470482826233
5	V3	upper_right	neutral	396	28	0.5462172031402588
5	V3	upper_left	target	180	15	0.6930776834487915
5	V3	upper_left	distractor	144	15	0.6488433480262756
5	V3	upper_left	neutral	396	15	0.6475453972816467
5	V3	lower_left	target	180	16	-0.12649376690387726
5	V3	lower_left	distractor	144	16	-0.20569080114364624
5	V3	lower_left	neutral	396	16	-0.20566655695438385
5	V3	lower_right	target	180	15	0.29600954055786133
5	V3	lower_right	distractor	144	15	0.2801790237426758
5	V3	lower_right	neutral	396	15	0.20417864620685577
5	V3AB	upper_right	target	180	12	1.3311820030212402
5	V3AB	upper_right	distractor	144	12	1.4501385688781738
5	V3AB	upper_right	neutral	396	12	1.2438586950302124
5	V3AB	upper_left	target	180	15	0.8870364427566528
5	V3AB	upper_left	distractor	144	15	0.6692492961883545
5	V3AB	upper_left	neutral	396	15	0.7419588565826416
5	V3AB	lower_left	target	180	37	1.1832669973373413
5	V3AB	lower_left	distractor	144	37	1.059043288230896
5	V3AB	lower_left	neutral	396	37	0.7293628454208374
5	V3AB	lower_right	target	180	23	0.5152518153190613
5	V3AB	lower_right	distractor	144	23	0.34444814920425415
5	V3AB	lower_right	neutral	396	23	0.36050108075141907
5	hV4	upper_right	target	180	5	0.9854270219802856
5	hV4	upper_right	distractor	144	5	0.9377407431602478
5	hV4	upper_right	neutral	396	5	1.2544025182724
5	hV4	upper_left	target	180	9	1.0292181968688965
5	hV4	upper_left	distractor	144	9	0.9469983577728271
5	hV4	upper_left	neutral	396	9	0.969393789768219
5	LO1	upper_right	target	180	5	0.5619978904724121
5	LO1	upper_right	distractor	144	5	0.5984868407249451
5	LO1	upper_right	neutral	396	5	0.4805096387863159
5	LO1	upper_left	target	180	5	1.2986187934875488
5	LO1	upper_left	distractor	144	5	1.223828673362732
5	LO1	upper_left	neutral	396	5	1.2644693851470947
5	LO1	lower_left	target	180	7	1.0724467039108276
5	LO1	lower_left	distractor	144	7	0.8352991938591003
5	LO1	lower_left	neutral	396	7	0.6496255397796631
5	LO2	upper_right	target	180	19	0.5581341981887817
5	LO2	upper_right	distractor	144	19	0.4804977774620056
5	LO2	upper_right	neutral	396	19	0.4437110722064972
5	LO2	upper_left	target	180	10	0.047401268035173416
5	LO2	upper_left	distractor	144	10	0.03250565379858017
5	LO2	upper_left	neutral	396	10	0.0854295864701271
5	LO2	lower_left	target	180	9	0.22711452841758728
5	LO2	lower_left	distractor	144	9	0.3286547064781189
5	LO2	lower_left	neutral	396	9	0.18474432826042175
5	LO2	lower_right	target	180	9	0.2154679149389267
5	LO2	lower_right	distractor	144	9	0.2080763578414917
5	LO2	lower_right	neutral	396	9	0.26045793294906616
5	TO1	upper_left	target	180	6	0.2314721792936325
5	TO1	upper_left	distractor	144	6	0.1168365478515625
5	TO1	upper_left	neutral	396	6	0.07260922342538834
5	TO1	lower_left	target	180	11	0.5548518896102905
5	TO1	lower_left	distractor	144	11	0.6580297946929932
5	TO1	lower_left	neutral	396	11	0.3338932991027832
5	TO1	lower_right	target	180	8	0.13800886273384094
5	TO1	lower_right	distractor	144	8	0.14258094131946564
5	TO1	lower_right	neutral	396	8	0.3396986424922943
5	TO2	upper_right	target	180	6	0.34757199883461
5	TO2	upper_right	distractor	144	6	0.42847251892089844
5	TO2	upper_right	neutral	396	6	0.3681054413318634
6	V1	upper_right	target	180	17	0.02729087322950363
6	V1	upper_right	distractor	144	17	0.06847245246171951
6	V1	upper_right	neutral	396	17	0.0454830601811409
6	V1	upper_left	target	180	41	0.048748355358839035
6	V1	upper_left	distractor	144	41	0.1105542927980423
6	V1	upper_left	neutral	396	41	0.043893519788980484
6	V1	lower_left	target	180	50	0.17599627375602722
6	V1	lower_left	distractor	144	50	0.25581714510917664
6	V1	lower_left	neutral	396	50	0.1689002364873886
6	V1	lower_right	target	180	19	0.6543519496917725
6	V1	lower_right	distractor	144	19	0.6984102725982666
6	V1	lower_right	neutral	396	19	0.6771230101585388
6	V2	upper_right	target	180	26	0.2452787607908249
6	V2	upper_right	distractor	144	26	0.2830200791358948
6	V2	upper_right	neutral	396	26	0.30254825949668884
6	V2	upper_left	target	180	33	0.6561889052391052
6	V2	upper_left	distractor	144	33	0.5819962620735168
6	V2	upper_left	neutral	396	33	0.49690014123916626
6	V2	lower_left	target	180	22	-0.35030126571655273
6	V2	lower_left	distractor	144	22	-0.3277200758457184
6	V2	lower_left	neutral	396	22	-0.37598559260368347
6	V2	lower_right	target	180	53	0.037122517824172974
6	V2	lower_right	distractor	144	53	-0.01778331771492958
6	V2	lower_right	neutral	396	53	-0.04779983311891556
6	V3	upper_right	target	180	34	0.2060225009918213
6	V3	upper_right	distractor	144	34	0.06004032865166664
